id_empleado,departamento,score_rendimiento
E001,Marketing,60
E002,Ingeniería,68
E003,Ingeniería,67
E004,Recursos Humanos,81
E005,Recursos Humanos,95
E006,Recursos Humanos,68
E007,Recursos Humanos,81
E008,Ventas,78
E009,Finanzas,63
E010,Recursos Humanos,100
E011,Marketing,65
E012,Recursos Humanos,77
E013,Ventas,73
E014,Soporte,94
E015,Recursos Humanos,84
E016,Soporte,82
E017,Marketing,65
E018,Marketing,96
E019,Marketing,82
E020,Ventas,92
E021,Finanzas,97
E022,Marketing,88
E023,Soporte,81
E024,Marketing,100
E025,Recursos Humanos,79
E026,Ingeniería,75
E027,Soporte,74
E028,Recursos Humanos,75
E029,Ingeniería,64
E030,Marketing,89
E031,Marketing,74
E032,Recursos Humanos,95
E033,Ventas,65
E034,Finanzas,75
E035,Marketing,77
E036,Recursos Humanos,97
E037,Ventas,100
E038,Marketing,76
E039,Ventas,66
E040,Soporte,60
E041,Soporte,99
E042,Ingeniería,70
E043,Ventas,74
E044,Soporte,65
E045,Soporte,87
E046,Ventas,79
E047,Ventas,91
E048,Ventas,95
E049,Ventas,91
E050,Marketing,86
E051,Recursos Humanos,60
E052,Marketing,72
E053,Recursos Humanos,66
E054,Finanzas,67
E055,Finanzas,83
E056,Ventas,94
E057,Marketing,98
E058,Ingeniería,63
E059,Recursos Humanos,81
E060,Finanzas,76
E061,Soporte,100
E062,Soporte,87
E063,Marketing,70
E064,Marketing,68
E065,Soporte,66
E066,Marketing,87
E067,Recursos Humanos,89
E068,Ventas,95
E069,Recursos Humanos,80
E070,Soporte,75
E071,Soporte,63
E072,Finanzas,65
E073,Ingeniería,68
E074,Finanzas,68
E075,Soporte,77
E076,Finanzas,91
E077,Marketing,90
E078,Finanzas,67
E079,Marketing,76
E080,Soporte,79
E081,Ingeniería,69
E082,Soporte,80
E083,Marketing,76
E084,Soporte,65
E085,Ingeniería,85
E086,Recursos Humanos,81
E087,Marketing,86
E088,Ingeniería,99
E089,Marketing,72
E090,Ventas,80
E091,Soporte,66
E092,Finanzas,74
E093,Finanzas,93
E094,Ingeniería,80
E095,Marketing,98
E096,Ingeniería,98
E097,Ventas,60
E098,Finanzas,95
E099,Ventas,97
E100,Ventas,86
E101,Marketing,73
E102,Recursos Humanos,87
E103,Soporte,99
E104,Ingeniería,85
E105,Recursos Humanos,80
E106,Recursos Humanos,93
E107,Soporte,94
E108,Marketing,82
E109,Ventas,81
E110,Recursos Humanos,83
E111,Soporte,62
E112,Marketing,74
E113,Finanzas,98
E114,Marketing,85
E115,Ingeniería,93
E116,Finanzas,93
E117,Marketing,77
E118,Soporte,93
E119,Ventas,95
E120,Ventas,98
E121,Recursos Humanos,85
E122,Finanzas,79
E123,Ingeniería,91
E124,Soporte,71
E125,Marketing,86
E126,Marketing,76
E127,Finanzas,77
E128,Ventas,79
E129,Soporte,92
E130,Soporte,71
E131,Ventas,63
E132,Recursos Humanos,79
E133,Soporte,87
E134,Recursos Humanos,73
E135,Ventas,60
E136,Ingeniería,89
E137,Ingeniería,98
E138,Recursos Humanos,72
E139,Ventas,99
E140,Finanzas,67
E141,Recursos Humanos,66
E142,Finanzas,83
E143,Marketing,90
E144,Finanzas,65
E145,Recursos Humanos,76
E146,Recursos Humanos,84
E147,Recursos Humanos,68
E148,Ingeniería,76
E149,Ventas,100
E150,Ingeniería,86
E151,Recursos Humanos,97
E152,Ventas,84
E153,Marketing,89
E154,Recursos Humanos,70
E155,Ventas,78
E156,Finanzas,63
E157,Recursos Humanos,85
E158,Soporte,94
E159,Finanzas,91
E160,Ventas,80
E161,Recursos Humanos,72
E162,Soporte,64
E163,Finanzas,69
E164,Recursos Humanos,74
E165,Recursos Humanos,68
E166,Soporte,93
E167,Marketing,65
E168,Soporte,97
E169,Soporte,94
E170,Marketing,65
E171,Soporte,83
E172,Ventas,79
E173,Marketing,83
E174,Ingeniería,85
E175,Recursos Humanos,64
E176,Ingeniería,91
E177,Finanzas,100
E178,Finanzas,72
E179,Ventas,67
E180,Marketing,62
E181,Finanzas,77
E182,Ingeniería,90
E183,Recursos Humanos,85
E184,Ingeniería,70
E185,Ingeniería,89
E186,Soporte,68
E187,Ingeniería,87
E188,Marketing,95
E189,Marketing,61
E190,Soporte,66
E191,Soporte,74
E192,Marketing,70
E193,Ingeniería,100
E194,Recursos Humanos,68
E195,Ventas,99
E196,Ingeniería,65
E197,Marketing,85
E198,Recursos Humanos,64
E199,Marketing,66
E200,Ingeniería,92
E201,Ingeniería,90
E202,Marketing,62
E203,Recursos Humanos,81
E204,Marketing,97
E205,Finanzas,72
E206,Soporte,68
E207,Recursos Humanos,87
E208,Soporte,75
E209,Ingeniería,80
E210,Marketing,89
E211,Recursos Humanos,78
E212,Recursos Humanos,94
E213,Recursos Humanos,77
E214,Ingeniería,100
E215,Ingeniería,96
E216,Recursos Humanos,70
E217,Ingeniería,83
E218,Ingeniería,89
E219,Recursos Humanos,74
E220,Ventas,85
E221,Marketing,99
E222,Finanzas,100
E223,Marketing,80
E224,Ventas,78
E225,Recursos Humanos,69
E226,Soporte,75
E227,Ventas,97
E228,Recursos Humanos,76
E229,Marketing,93
E230,Recursos Humanos,95
E231,Soporte,60
E232,Ventas,68
E233,Ventas,76
E234,Soporte,98
E235,Ventas,100
E236,Soporte,95
E237,Recursos Humanos,82
E238,Recursos Humanos,77
E239,Marketing,84
E240,Ingeniería,95
E241,Marketing,97
E242,Finanzas,81
E243,Finanzas,68
E244,Ventas,86
E245,Ingeniería,64
E246,Ventas,93
E247,Marketing,93
E248,Ventas,75
E249,Ventas,100
E250,Recursos Humanos,71
E251,Ingeniería,67
E252,Marketing,80
E253,Recursos Humanos,90
E254,Recursos Humanos,60
E255,Marketing,91
E256,Recursos Humanos,73
E257,Ventas,86
E258,Ventas,80
E259,Marketing,80
E260,Recursos Humanos,98
E261,Finanzas,96
E262,Ingeniería,65
E263,Ventas,87
E264,Soporte,73
E265,Marketing,97
E266,Ingeniería,68
E267,Finanzas,72
E268,Marketing,99
E269,Recursos Humanos,75
E270,Recursos Humanos,76
E271,Ingeniería,64
E272,Soporte,68
E273,Finanzas,91
E274,Ventas,94
E275,Finanzas,77
E276,Ingeniería,68
E277,Ventas,61
E278,Soporte,97
E279,Recursos Humanos,95
E280,Ventas,76
E281,Soporte,99
E282,Ventas,62
E283,Ingeniería,74
E284,Soporte,72
E285,Marketing,82
E286,Finanzas,84
E287,Ingeniería,77
E288,Ventas,67
E289,Ventas,84
E290,Marketing,60
E291,Ingeniería,100
E292,Ventas,60
E293,Finanzas,90
E294,Recursos Humanos,61
E295,Marketing,81
E296,Soporte,66
E297,Recursos Humanos,82
E298,Recursos Humanos,83
E299,Ventas,80
E300,Soporte,95
E301,Recursos Humanos,90
E302,Finanzas,89
E303,Ventas,91
E304,Marketing,66
E305,Ventas,70
E306,Marketing,67
E307,Ingeniería,86
E308,Finanzas,92
E309,Soporte,82
E310,Ventas,70
E311,Ingeniería,73
E312,Soporte,65
E313,Finanzas,94
E314,Finanzas,91
E315,Marketing,70
E316,Finanzas,63
E317,Ingeniería,79
E318,Ventas,70
E319,Marketing,76
E320,Finanzas,85
E321,Ingeniería,85
E322,Recursos Humanos,69
E323,Ingeniería,69
E324,Ventas,71
E325,Marketing,75
E326,Soporte,73
E327,Ingeniería,100
E328,Marketing,62
E329,Ingeniería,77
E330,Finanzas,60
E331,Ingeniería,63
E332,Ingeniería,76
E333,Marketing,76
E334,Soporte,67
E335,Ingeniería,98
E336,Ingeniería,62
E337,Finanzas,94
E338,Marketing,90
E339,Ventas,99
E340,Ingeniería,61
E341,Marketing,89
E342,Finanzas,67
E343,Ingeniería,71
E344,Soporte,94
E345,Soporte,60
E346,Ventas,72
E347,Recursos Humanos,92
E348,Ventas,78
E349,Ingeniería,70
E350,Marketing,85
E351,Recursos Humanos,89
E352,Finanzas,93
E353,Recursos Humanos,91
E354,Ventas,90
E355,Recursos Humanos,97
E356,Marketing,70
E357,Recursos Humanos,72
E358,Ventas,67
E359,Ventas,100
E360,Marketing,88
E361,Ventas,76
E362,Soporte,82
E363,Recursos Humanos,96
E364,Recursos Humanos,62
E365,Recursos Humanos,71
E366,Ventas,77
E367,Marketing,74
E368,Finanzas,100
E369,Finanzas,68
E370,Finanzas,87
E371,Ingeniería,79
E372,Marketing,99
E373,Soporte,86
E374,Marketing,98
E375,Ventas,65
E376,Soporte,99
E377,Marketing,92
E378,Soporte,84
E379,Soporte,72
E380,Ingeniería,97
E381,Ingeniería,68
E382,Ingeniería,98
E383,Finanzas,87
E384,Soporte,71
E385,Ingeniería,97
E386,Marketing,99
E387,Ingeniería,74
E388,Finanzas,76
E389,Recursos Humanos,78
E390,Soporte,65
E391,Finanzas,82
